id,category_id,sub_category_id,course_id,title,question_type,marks,dificulty_level,explanation,status,assessment_id,created_at,updated_at,silver_set,gold_set
1,1,2,1,"The project manager shifts to an agile approach for a project with an aggressive go-to-market timeline. The project manager needs to revise the stakeholder plan so that it follows agile principles.
  
 What should the project manager do to meet this need?",1,1,Complex,"To facilitate timely, productive discussion and decision making, adaptive teams engage with stakeholders directly rather than going through layers of management. Often the client, user, and developer exchange information in a dynamic co-creative process that leads to more stakeholder involvement and higher satisfaction.In order to accelerate the sharing of information within and across the organization, agile methods promote aggressive transparency.
 PMBOK® Guide Sixth Edition (2018), 13. Project Stakeholder Management, p506
  | The Agile Practice Guide, Annex A1 PMBOK® Guide Mapping, p95",0,16,4/3/7778 3:09,,1,1
2,1,2,1,"Project team members are concerned that a new resource does not seem suitable for an assigned task.
  
 How should the project manager respond to this concern?",1,1,Complex,"A project manager should not take action by just listening to other member’s feedback. He should talk to the new member to find out about his strength and make some evaluation later. 
 
 PMBOK® Guide Sixth Edition (2018) PMI, 9. Project Resource Management / 9.4 Develop team, p338
  | The Agile Practice Guide, 2.2 The Agile Manifesto and Mindset , p8",0,16,4/3/7778 3:09,,1,1
3,1,3,1,"A project manager develops a project management plan and schedule based on an agreed-upon project lifecycle of 16 months. Later, due to changing business requirements, the project manager receives a request for completion within 9 months.
 How should the project manager respond to this proposed change in timeline?",1,1,Complex,"To execute the project quickly, the project team should discuss on the whole scope together and find out the way to complete tasks at individual level within short time. By the discussion, many tasks could be by-passed from the base tasks and new tasks can be identified, which might help the project to reduce the total time frame of the project. This is an agile mindset of the project manager, by which a better value can be served in terms of time.
 
 Effective Project Management: Traditional, Agile, Extreme, Hybrid (No Date) Robert K. Wysocki, Chapter 12 / Most of the solution is clearly known",0,16,4/3/7778 3:09,,,
4,1,3,1,"During an iteration, Task 1 cannot be completed on time due to unexpected challenges. Another team within the project is depending on timely completion of Task 1 in order to fulfill their part of the project.
  
 How should the project manager resolve this issue?",1,1,Complex,"Hybrid approach might also involve evaluating iteration backlog items priorities to resolve time constraints.
 
 PMBOK® Guide Sixth Edition (2018), 6. Project Schedule Management / 6.6 Control Schedule, 224
  | The Agile Practice Guide (2017), 5. Implementing Agile: Delivering in an Agile Environment/5.3 Troubleshooting Agile Project Challenges, 58",0,16,4/3/7778 3:09,,,
5,1,2,1,"The project manager schedules an iteration review and learns that a few key stakeholders do not approve of how a feature has been developed.
  
 What should the project manager do first in order to address this issue?",1,1,Complex,"One of the required abilities of Project Managers is to identify when the conflict escalates. If it happens, the Project Manager should help to facilitate a satisfactory solution, addressing conflict early, in private an using a direct and collaborative approach.
 
 PMBOK® Guide Sixth Edition (2018), 9. Project Resource Management / 9.5.2 Manage Team: Tools and Techniques, p348",0,16,4/3/7778 3:09,,,
6,1,2,1,"A key team member is asked to move to another project during the middle of a technical project. The team believes this is an unwise move and expresses concern.
  
 Which action will help to resolve the issue?",1,1,Complex,"PM should know how to handle key personnel changes and keep the team motivated and productive.
 
 PMBOK® Guide Sixth Edition (2018) 9, Project Resource Management / 9.5 Manage Team, 345-346
  | Project Managers Portable Handbook, 3rd Ed (No Date), Section 5/ 5.3.4 Coaching Techniques and Tools",0,16,4/3/7778 3:09,,,
7,1,2,1,"At a weekly project status meeting, a key team member expresses concerns about the overall approach documented within the project management plan. The Project manager is surprised because the team is in the process of executing an important component of the project and the concern has not been raised before.
  
 What steps should the project manager take?",1,1,Complex,"Conflict should be addressed in private, first, to better understand the concern being raised. Exploring the concern after the meeting gives the PM an opportunity to verify the concern and determine needed next steps without disrupting the meeting with all meeting attendees. 
 
 PMBOK® Guide Sixth Edition (2018) 9. Project Resource Management / 9.5.2.1 Interpersonal and Team Skills, p348",0,16,4/3/7778 3:09,,,
8,1,2,1,"During a meeting, a project manager learns that a business result needs to be delivered in four weeks, although the original plan was sixteen weeks. The project manager also hears that there is no available technical resource who might be able to join the team. The project manager knows the technical resource manager because they worked together on a previous project.
  
 What is the first thing the project manager should do?",1,1,High Complex,"Per Agile manifesto, it values individual and interactions over processes and tools. Thus, it is best to meet with the resource manager to understand the real situation rather than informing sponsor first which might be the false alarm.
 
 PMBOK® Guide Sixth Edition (2018) Project Communications Management / 10.2.2.6 Interpersonal and Team Skills / Networking, p386
  | The Agile Practice Guide, 2.2 The Agile Manifesto and Mindset , p8",0,16,4/3/7778 3:09,,,
9,1,2,1,"A team decides that an agile approach fits the needs of the next phase in their project. Unfortunately, there are team members who have not had the appropriate agile training.
  
 How should the project manager respond to the lack of agile training?",1,1,Medium,"If project team members training results in added skills that could be useful for future phases or future projects, schedule training lessons and related costs could be evaluated to be included in resource management plan and cost management plan.
 
 PMBOK® Guide Sixth Edition (2018) 9. Project resource Management / 9.4.2.6 Training, p342
  | The Agile Practice Guide (2017), 4. Implementing Agile: Creating An Agile Environment / 4.2.1 Servant Leader Responsibilities, 37",0,16,4/3/7778 3:09,,,
10,1,2,1,"A project manager believes that a delay in developing a prototype was due to a lack of knowledge in a specific skill that was needed by the cross-functional team.
  
 How could the project manager prevent this situation on future projects?",1,1,Complex,"Develop the human resource management plan by defining the roles and responsibilities of the project team members in order to create a project organizational structure and provide guidance regarding how resources will be assigned and managed.
 
 PMBOK® Guide Sixth Edition (2018), 9. Project Resource Management, 309
  | The Agile Practice Guide (2017), 4 Implementing Agile: Creating an Agile Environment / 4.3.3 Generalizing Specialists, p42",0,16,4/3/7778 3:09,,,
11,1,3,1,"A new project manager joins the project’s daily standups, only to find that the project team spends too much time discussing ways to deal with obstructions in the project. Because of these discussions, standups often last well over two hours.
  
 What process should be used to deal with this issue?",1,1,Simple,"Most project manager's think if he has the daily startup, then he can apply agile way to manage the projects. But it is important for agile is how to implement the daily standup.
  
 Teams run their own standups. When run well, standups can be very useful, provided the nature of the team’s work requires intense collaboration. Identify the blockers on the standups but have separate meetings to discuss the blockers and the solution.
 
 The Agile Practice Guide (2017), Chapter 5 / 5.2.4 Daily Standups, 53",0,16,4/3/7778 3:09,,,
12,1,3,1,"A customer is not satisfied with the delivered product, saying that it was not what they expected. The project manager is surprised, because the agile development team delivered the product several iterations early.
  
 What is one way that the project manager could have avoided this result?",1,1,Medium,"The customer was not engaged enough in the project. The iteration review is the best mechanism for the team to demonstrate working software and for the customer to give feedback to ensure that their expectations are met.
 
 PMBOK® Guide Sixth Edition (2018), 13. Project Stakeholder Management / 13.3 Manage Stakeholder Engagement,524
  | The Agile Practice Guide (No Date), 5 Implementing Agile: Delivering in and Agile Environment / 5.2.5 Demonstrations/Reviews, 55",0,16,4/3/7778 3:09,,,
